is_parallel_safe,trip_count,nesting_depth,flops_per_iter,total_flops,memory_footprint_bytes,arithmetic_intensity,data_reuse_ratio,coalescing_efficiency,stride_regularity,branch_divergence_count,has_reduction,hw_type_code,bus_bandwidth_gbps,peak_tflops,unified_memory,t_cpu_ms,t_gpu_ms,speedup,is_profitable
1.0,32768.0,3.0,2.0,65536.0,12288.0,5.333333333333333,10000.0,0.15,0.5,0.0,0.0,0.0,89.6,2.66,1.0,1.872457142857143,0.035039999999999995,53.437703848662764,1
1.0,262144.0,3.0,2.0,524288.0,49152.0,10.666666666666666,10000.0,0.15,0.5,0.0,0.0,0.0,89.6,2.66,1.0,14.979657142857144,0.05532,270.7819440140482,1
1.0,884736.0,3.0,2.0,1769472.0,110592.0,16.0,10000.0,0.15,0.5,0.0,0.0,0.0,89.6,2.66,1.0,50.55634285714286,0.103,490.83828016643554,1
1.0,2097152.0,3.0,2.0,4194304.0,196608.0,21.333333333333332,10000.0,0.15,0.5,0.0,0.0,0.0,89.6,2.66,1.0,119.83725714285715,0.21799999999999997,549.7121887287026,1
1.0,7077888.0,3.0,2.0,14155776.0,442368.0,32.0,10000.0,0.15,0.5,0.0,0.0,0.0,89.6,2.66,1.0,404.45074285714287,1.05232,384.3419709376833,1
1.0,16777216.0,3.0,2.0,33554432.0,786432.0,42.666666666666664,10000.0,0.15,0.5,0.0,0.0,0.0,89.6,2.66,1.0,958.6980571428572,1.9283000000000001,497.1726687459717,1
1.0,56623104.0,3.0,2.0,113246208.0,1769472.0,64.0,10000.0,0.15,0.5,0.0,0.0,0.0,89.6,2.66,1.0,3235.605942857143,9.4399,342.7584977443768,1
1.0,134217728.0,3.0,2.0,268435456.0,3145728.0,85.33333333333333,10000.0,0.15,0.5,0.0,0.0,0.0,89.6,2.66,1.0,7669.584457142858,46.27022,165.7563862273155,1
1.0,452984832.0,3.0,2.0,905969664.0,7077888.0,128.0,10000.0,0.15,0.5,0.0,0.0,0.0,89.6,2.66,1.0,25884.847542857144,183.32503,141.19647242308997,1
1.0,1073741824.0,3.0,2.0,2147483648.0,12582912.0,170.66666666666666,10000.0,0.15,0.5,0.0,0.0,0.0,89.6,2.66,1.0,61356.67565714286,343.61462,178.56247111122008,1
1.0,32768.0,3.0,2.0,65536.0,12288.0,5.333333333333333,10000.0,0.15,0.5,0.0,0.0,0.0,89.6,2.66,1.0,1.872457142857143,0.030879999999999998,60.63656550703184,1
1.0,262144.0,3.0,2.0,524288.0,49152.0,10.666666666666666,10000.0,0.15,0.5,0.0,0.0,0.0,89.6,2.66,1.0,14.979657142857144,0.06652,225.1902757495061,1
