is_parallel_safe,trip_count,nesting_depth,flops_per_iter,total_flops,memory_footprint_bytes,arithmetic_intensity,data_reuse_ratio,coalescing_efficiency,stride_regularity,branch_divergence_count,has_reduction,hw_type_code,bus_bandwidth_gbps,peak_tflops,unified_memory,t_cpu_ms,t_gpu_ms,speedup,is_profitable
1.0,32768.0,3.0,2.0,65536.0,12288.0,5.333333333333333,10000.0,0.15,0.5,0.0,0.0,1.0,15.75,6.8,0.0,0.028613,0.10812,0.2646411394746578,0
1.0,262144.0,3.0,2.0,524288.0,49152.0,10.666666666666666,10000.0,0.15,0.5,0.0,0.0,1.0,15.75,6.8,0.0,0.246973,0.18648,1.3243940368940368,1
1.0,884736.0,3.0,2.0,1769472.0,110592.0,16.0,10000.0,0.15,0.5,0.0,0.0,1.0,15.75,6.8,0.0,0.983203,0.22443999999999997,4.380694172161825,1
1.0,2097152.0,3.0,2.0,4194304.0,196608.0,21.333333333333332,10000.0,0.15,0.5,0.0,0.0,1.0,15.75,6.8,0.0,2.772363,1.3419200000000002,2.065967419816382,1
1.0,7077888.0,3.0,2.0,14155776.0,442368.0,32.0,10000.0,0.15,0.5,0.0,0.0,1.0,15.75,6.8,0.0,10.150195,2.26984,4.4717667324569135,1
1.0,16777216.0,3.0,2.0,33554432.0,786432.0,42.666666666666664,10000.0,0.15,0.5,0.0,0.0,1.0,15.75,6.8,0.0,29.202393,13.819560000000001,2.113120316421073,1
1.0,56623104.0,3.0,2.0,113246208.0,1769472.0,64.0,10000.0,0.15,0.5,0.0,0.0,1.0,15.75,6.8,0.0,89.254785,23.7028,3.7655798049175626,1
1.0,134217728.0,3.0,2.0,268435456.0,3145728.0,85.33333333333333,10000.0,0.15,0.5,0.0,0.0,1.0,15.75,6.8,0.0,357.260791,67.69756000000001,5.2773067596527845,1
1.0,452984832.0,3.0,2.0,905969664.0,7077888.0,128.0,10000.0,0.15,0.5,0.0,0.0,1.0,15.75,6.8,0.0,1065.649805,221.434,4.812494038855822,1
1.0,1073741824.0,3.0,2.0,2147483648.0,12582912.0,170.66666666666666,10000.0,0.15,0.5,0.0,0.0,1.0,15.75,6.8,0.0,61356.67565714286,715.2429999999999,85.78437769701048,1
1.0,32768.0,3.0,2.0,65536.0,12288.0,5.333333333333333,10000.0,0.15,0.5,0.0,0.0,1.0,15.75,6.8,0.0,1.872457142857143,0.10651999999999999,17.578456091411407,1
1.0,262144.0,3.0,2.0,524288.0,49152.0,10.666666666666666,10000.0,0.15,0.5,0.0,0.0,1.0,15.75,6.8,0.0,14.979657142857144,0.18019999999999997,83.12795306801968,1
1.0,884736.0,3.0,2.0,1769472.0,110592.0,16.0,10000.0,0.15,0.5,0.0,0.0,1.0,15.75,6.8,0.0,50.55634285714286,0.22316,226.54751235500476,1
